Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
suboptimal,44,Filler,find,doll,doll2.jpg,find_doll,find_doll_AAE.mp3,,,,,jewel,jewel1.jpg,juice,juice1.jpg,tree,tree3.jpg,AAE
optimal,48,Filler,find,footprint,footprint4.jpg,find_footprint,find_footprint_GAE.mp3,,,,,doll,doll4.jpg,cookies,cookies3.jpg,trophy,trophy4.jpg,GAE
intermediate,10,Predictive,throw,football,football3.jpg,throw_football,throw_football_AAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle1.jpg,whistle,whistle3.jpg,costume,costume4.jpg,AAE
suboptimal,8,Predictive,read,book,book3.jpg,read_book,read_book_AAE.mp3,choose_book,choose_book.mp3,choose_horse,choose_horse.mp3,santa,santa4.jpg,ring,ring3.jpg,horse,horse1.jpg,AAE
intermediate,25,NeutralFiller,buy,kite,kite4.jpg,buy_kite,buy_kite_AAE.mp3,,,,,peanut,peanut1.jpg,bush,bush1.jpg,shoes,shoes1.jpg,AAE
optimal,1,Predictive,toast,bread,bread4.jpg,toast_bread,toast_bread_GAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 4.jpg,shirt,shirt1.jpg,couch,couch4.jpg,GAE
intermediate,7,Predictive,fly,kite,kite1.jpg,fly_kite,fly_kite_AAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut3.jpg,bush,bush4.jpg,shoes,shoes4.jpg,AAE
optimal,4,Predictive,drink ,milk,milk4.jpg,drink _milk,drink _milk_GAE.mp3,find_milk,find_milk.mp3,find_dress,find_dress.mp3,tractor,tractor2.jpg,ball,ball1.jpg,dress,dress1.jpg,GAE
intermediate,16,Predictive,kick,ball,ball4.jpg,kick_ball,kick_ball_AAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart2.jpg,cat,cat1.jpg,mail,mail3.jpg,AAE
intermediate,50,Filler,buy,truck,truck3.jpg,buy_truck,buy_truck_AAE.mp3,,,,,can,can4.jpg,milk,milk3.jpg,dog,dog4.jpg,AAE
suboptimal,25,NeutralFiller,buy,kite,kite2.jpg,buy_kite,buy_kite_AAE.mp3,,,,,peanut,peanut2.jpg,bush,bush3.jpg,shoes,shoes2.jpg,AAE
intermediate,1,Predictive,toast,bread,bread1.jpg,toast_bread,toast_bread_AAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 1.jpg,shirt,shirt2.jpg,couch,couch2.jpg,AAE
